p,q,aic,bic
0,0,-47901.53307681868,-47886.908546835286
0,1,-47902.83670455721,-47880.89990958211
0,2,-47907.275679695274,-47878.02661972848
0,3,-47917.206045598665,-47880.64472064017
0,4,-47922.51451515092,-47878.64092520073
0,5,-47920.53569076884,-47869.34983582695
0,6,-47919.065195570816,-47860.567075637235
0,7,-47917.060936551075,-47851.250551625795
0,8,-47916.106019853854,-47842.983369936876
0,9,-47914.244402204335,-47833.80948729566
0,10,-47918.1315987537,-47830.384418853326
0,11,-47916.01377705645,-47820.95433216437
0,12,-47927.65882331997,-47825.2871134362
0,13,-47927.31054645407,-47817.6265715786
0,14,-47926.89422330687,-47809.897983439696
0,15,-47925.47589786967,-47801.1673930108
0,16,-47923.988815672914,-47792.368045822346
0,17,-47924.07823733947,-47785.1452024972
0,18,-47922.5718166938,-47776.32651685984
0,19,-47921.28474520438,-47767.727180378715
0,20,-47919.3447724634,-47758.47494264605
0,21,-47920.53222978873,-47752.35013497968
0,22,-47922.94089051359,-47747.44653071284
0,23,-47921.02481715774,-47738.21819236529
0,24,-47919.06220073296,-47728.94331094881
0,25,-47917.48306463768,-47720.05190986183
0,26,-47915.71762640475,-47710.974206637205
1,0,-47902.6929175158,-47880.756122540704
1,1,-47897.57711978379,-47868.328059816995
1,2,-47905.388595779375,-47868.82727082088
1,3,-47920.50308391085,-47876.62949396066
1,4,-47920.582585730896,-47869.396730789005
1,5,-47918.63243143293,-47860.13431149935
1,6,-47916.50453397517,-47850.69414904989
1,7,-47915.08566028831,-47841.96301037133
1,8,-47914.4972429671,-47834.062328058426
1,9,-47912.70342974081,-47824.956249840434
1,10,-47914.19129735464,-47819.13185246257
1,11,-47916.80940404459,-47814.43769416081
1,12,-47928.25501814874,-47818.57104327327
1,13,-47926.35414093705,-47809.35790106988
1,14,-47925.3443639036,-47801.03585904473
1,15,-47923.326025129405,-47791.70525527884
1,16,-47921.97685166402,-47783.04381682175
1,17,-47922.88317710533,-47776.637877271365
1,18,-47921.08269988762,-47767.52513506196
1,19,-47919.24464519396,-47758.37481537661
1,20,-47917.29749258543,-47749.115397776375
1,21,-47919.83113451868,-47744.33677471793
1,22,-47920.88283511624,-47738.07621032379
1,23,-47919.015827581476,-47728.896937797326
1,24,-47917.03346857258,-47719.602313796735
1,25,-47915.58187082546,-47710.83845105791
1,26,-47913.88151529814,-47701.825830538895
2,0,-47908.23139162801,-47878.98233166122
2,1,-47906.081065208564,-47869.51974025007
2,2,-47912.72646880486,-47868.85287885467
2,3,-47918.732236691656,-47867.546381749766
2,4,-47918.83249030311,-47860.33437036953
2,5,-47913.61976346315,-47847.80937853787
2,6,-47915.14454051001,-47842.02189059303
2,7,-47913.672225605806,-47833.23731069713
2,8,-47912.16964283838,-47824.422462938004
2,9,-47911.92842007693,-47816.86897518486
2,10,-47916.95610255438,-47814.58439267061
2,11,-47919.0917310646,-47809.407756189124
2,12,-47926.524665048484,-47809.528425181314
2,13,-47924.836431026386,-47800.52792616752
2,14,-47923.33676454586,-47791.71599469529
2,15,-47921.53643301408,-47782.603398171814
2,16,-47919.71309115559,-47773.46779132162
2,17,-47920.59266531313,-47767.03510048747
2,18,-47918.1935380533,-47757.32370823595
2,19,-47918.41355697902,-47750.23146216997
2,20,-47916.46910550221,-47740.97474570146
2,21,-47918.274209671246,-47735.467584878796
2,22,-47918.888284377026,-47728.76939459288
2,23,-47917.02974346653,-47719.598588690686
2,24,-47915.0287486318,-47710.28532886425
2,25,-47913.53369921387,-47701.478014454624
2,26,-47911.60748676322,-47692.239537012276
3,0,-47917.23947930969,-47880.6781543512
3,1,-47915.38060512785,-47871.50701517766
3,2,-47919.439953496054,-47868.254098554164
3,3,-47917.5729493127,-47859.07482937912
3,4,-47915.61060851815,-47849.80022359287
3,5,-47914.68394676458,-47841.5612968476
3,6,-47913.300854233086,-47832.86593932441
3,7,-47911.16757781132,-47823.420397910944
3,8,-47909.898267896,-47814.83882300393
3,9,-47910.10462142958,-47807.732911545805
3,10,-47915.10885144403,-47805.424876568555
3,11,-47916.95802228667,-47799.9617824195
3,12,-47924.35641328538,-47800.04790842651
3,13,-47922.801829041,-47791.18105919043
3,14,-47921.28825513924,-47782.35522029697
3,15,-47920.104893118914,-47773.85959328495
3,16,-47918.45506159967,-47764.89749677401
3,17,-47918.48341492762,-47757.613585110266
3,18,-47916.10629831308,-47747.92420350403
3,19,-47916.35739210047,-47740.86303229972
3,20,-47914.752069578906,-47731.945444786455
3,21,-47916.259461542584,-47726.140571758435
3,22,-47916.838481724204,-47719.407326948356
3,23,-47915.06891727251,-47710.325497504964
3,24,-47912.964109408065,-47700.90842464882
3,25,-47911.47326197009,-47692.105312219144
3,26,-47909.48771457933,-47682.80749983669
4,0,-47922.530706195714,-47878.65711624552
4,1,-47920.52823091573,-47869.342375973836
4,2,-47918.171858655995,-47859.67373872241
4,3,-47916.94265722046,-47851.13227229518
4,4,-47920.96782297259,-47847.84517305561
4,5,-47912.59227119131,-47832.15735628263
4,6,-47917.58463578754,-47829.837455887166
4,7,-47913.742752479266,-47818.68330758719
4,8,-47913.234585434766,-47810.86287555099
4,9,-47913.077858324315,-47803.39388344884
4,10,-47916.158371826634,-47799.16213195946
4,11,-47917.17960019503,-47792.87109533616
4,12,-47920.00998305302,-47788.389213202456
4,13,-47919.92405241594,-47780.99101757367
4,14,-47918.36650971117,-47772.12120987721
4,15,-47916.54940917972,-47762.99184435406
4,16,-47915.972891136866,-47755.10306131951
4,17,-47916.880087480065,-47748.69799267101
4,18,-47914.4657509674,-47738.97139116665
4,19,-47915.668183053625,-47732.861558261175
4,20,-47913.3828297545,-47723.26393997035
4,21,-47913.866153659095,-47716.43499888325
4,22,-47914.13825298767,-47709.394833220125
4,23,-47912.405710580104,-47700.35002582086
4,24,-47910.171778930264,-47690.80382917932
4,25,-47909.1841672741,-47682.50395253146
4,26,-47907.51135539851,-47673.518875664166
5,0,-47920.52524006184,-47869.33938511995
5,1,-47918.52191394333,-47860.02379400975
5,2,-47916.50637049193,-47850.69598556665
5,3,-47914.49250540606,-47841.36985548908
5,4,-47917.5131916813,-47837.07827677262
5,5,-47910.59723317607,-47822.850053275695
5,6,-47915.29279639221,-47820.23335150014
5,7,-47910.04776126366,-47807.67605137989
5,8,-47917.85578932891,-47808.17181445344
5,9,-47917.57374385042,-47800.57750398325
5,10,-47918.14044214404,-47793.83193728517
5,11,-47921.02341638766,-47789.40264653709
5,12,-47922.70972338285,-47783.77668854059
5,13,-47921.46659410652,-47775.22129427255
5,14,-47918.129367524,-47764.57180269834
5,15,-47916.792769492924,-47755.92293967557
5,16,-47914.824497218215,-47746.64240240916
5,17,-47914.66514852392,-47739.17078872317
5,18,-47912.26092166716,-47729.45429687471
5,19,-47914.89900911536,-47724.78011933121
5,20,-47913.24854656959,-47715.817391793746
5,21,-47912.93109384213,-47708.18767407459
5,22,-47912.51402221863,-47700.458337459386
5,23,-47910.92327812338,-47691.55532837244
5,24,-47908.83589242042,-47682.15567767778
5,25,-47908.43593293008,-47674.44345319574
5,26,-47906.72020822911,-47665.41546350307
6,0,-47919.073158828134,-47860.57503889455
6,1,-47917.06910349166,-47851.25871856638
6,2,-47915.05909103772,-47841.93644112074
6,3,-47913.053769457125,-47832.61885454845
6,4,-47911.148600588785,-47823.40142068841
6,5,-47909.14103226954,-47814.08158737746
6,6,-47916.18313064182,-47813.811420758044
6,7,-47908.01863375137,-47798.3346588759
6,8,-47909.084130616066,-47792.087890748895
6,9,-47918.274262220024,-47793.965757361155
6,10,-47916.41530201734,-47784.79453216677
6,11,-47922.322101830636,-47783.38906698837
6,12,-47920.968499791255,-47774.72319995729
6,13,-47919.252308491814,-47765.69474366615
6,14,-47915.96749631186,-47755.097666494505
6,15,-47914.75267571467,-47746.570580905616
6,16,-47913.2366522378,-47737.74229243705
6,17,-47912.41378821891,-47729.60716342646
6,18,-47910.111232360745,-47719.992342576596
6,19,-47913.00548452053,-47715.57432974468
6,20,-47912.03425813696,-47707.290838369416
6,21,-47910.85684552822,-47698.80116076898
6,22,-47910.35306638225,-47690.98511663131
6,23,-47908.03596515866,-47681.35575041602
6,24,-47906.14833214764,-47672.1558524133
6,25,-47905.70873888189,-47664.40399415585
6,26,-47904.19135715786,-47655.574347440124
7,0,-47917.06683622157,-47851.25645129629
7,1,-47915.064767949174,-47841.942118032195
7,2,-47913.05211682873,-47832.61720192005
7,3,-47911.0633355778,-47823.31615567742
7,4,-47909.16993664897,-47814.110491756895
7,5,-47907.16606174913,-47804.794351865356
7,6,-47913.93442878411,-47804.25045390864
7,7,-47914.95129908625,-47797.95505921908
7,8,-47901.40169309138,-47777.09318823251
7,9,-47916.10902422879,-47784.48825437822
7,10,-47914.27756600274,-47775.344531160474
7,11,-47921.63176692696,-47775.386467093
7,12,-47925.704126581455,-47772.14656175579
7,13,-47924.7839271476,-47763.91409733024
7,14,-47916.912951845516,-47748.73085703646
7,15,-47912.987703188606,-47737.493343387854
7,16,-47911.522161177316,-47728.715536384865
7,17,-47910.37024276769,-47720.25135298354
7,18,-47908.049817097344,-47710.618662321496
7,19,-47912.52761590174,-47707.78419613419
7,20,-47911.30219592292,-47699.24651116368
7,21,-47911.47800485148,-47692.11005510054
7,22,-47908.951070136995,-47682.27085539435
7,23,-47906.20008174129,-47672.20760200695
7,24,-47904.3622661224,-47663.05752139636
7,25,-47903.848452983395,-47655.23144326566
7,26,-47902.25270797161,-47646.32343326217
8,0,-47915.669284820295,-47842.546634903316
8,1,-47913.66182817954,-47833.22691327086
8,2,-47911.71276332948,-47823.965583429104
8,3,-47917.549400050324,-47822.48995515825
8,4,-47907.86911824552,-47805.49740836175
8,5,-47905.86321529316,-47796.17924041769
8,6,-47914.04514364352,-47797.04890377635
8,7,-47914.806002001525,-47790.497497142656
8,8,-47912.749008107334,-47781.128238256766
8,9,-47915.358898333514,-47776.42586349125
8,10,-47912.59373156907,-47766.3484317351
8,11,-47914.370908554265,-47760.8133437286
8,12,-47921.95639238793,-47761.08656257058
8,13,-47921.80407588658,-47753.62198107753
8,14,-47911.424925359825,-47735.93056555907
8,15,-47910.98735536379,-47728.18073057134
8,16,-47909.53226533433,-47719.41337555018
8,17,-47907.81669699315,-47710.3855422173
8,18,-47905.30359919672,-47700.56017942917
8,19,-47910.82923754278,-47698.77355278353
8,20,-47909.310583770144,-47689.9426340192
8,21,-47910.19846569092,-47683.51825094828
8,22,-47909.7172288207,-47675.72474908636
8,23,-47906.95470001407,-47665.64995528803
8,24,-47905.69014760113,-47657.073137883395
8,25,-47903.852071666945,-47647.92279695751
8,26,-47900.95251494243,-47637.710975241294
9,0,-47913.949152763205,-47833.51423785453
9,1,-47911.928924240885,-47824.18174434051
9,2,-47909.97107984413,-47814.911634952055
9,3,-47907.89398121933,-47805.522271335554
9,4,-47906.13204962944,-47796.44807475397
9,5,-47904.14310390044,-47787.14686403327
9,6,-47917.132732117876,-47792.82422725901
9,7,-47913.563756120355,-47781.94298626979
9,8,-47898.23407855816,-47759.301043715896
9,9,-47896.19039152279,-47749.94509168882
9,10,-47916.2202993908,-47762.662734565136
9,11,-47924.67477015334,-47763.804940335984
9,12,-47923.75337212636,-47755.57127731731
9,13,-47922.72308100089,-47747.22872120014
9,14,-47909.2535656385,-47726.44694084605
9,15,-47920.244907116845,-47730.126017332695
9,16,-47918.461829349086,-47721.03067457324
9,17,-47915.54852039348,-47710.805100625934
9,18,-47912.222168365086,-47700.16648360584
9,19,-47911.359115835956,-47691.99116608501
9,20,-47910.95258685484,-47684.272372112195
9,21,-47907.72590995125,-47673.73343021691
9,22,-47907.5333309908,-47666.22858626476
9,23,-47904.91312923582,-47656.29611951808
9,24,-47903.61139874904,-47647.6821240396
9,25,-47901.817246708626,-47638.57570700749
9,26,-47898.96608340801,-47628.41227871519
10,0,-47919.19193539201,-47831.44475549163
10,1,-47917.199169308966,-47822.13972441689
10,2,-47915.058236838115,-47812.68652695434
10,3,-47912.77490464152,-47803.09092976605
10,4,-47911.08128854464,-47794.08504867747
10,5,-47911.58660928095,-47787.27810442208
10,6,-47920.179700293374,-47788.55893044281
10,7,-47910.28589141123,-47771.35285656896
10,8,-47905.42140293594,-47759.17610310198
10,9,-47902.04644247226,-47748.488877646596
10,10,-47911.21233745304,-47750.34250763569
10,11,-47921.96877602826,-47753.78668121921
10,12,-47921.63363130453,-47746.13927150378
10,13,-47920.88359091395,-47738.0769661215
10,14,-47913.41322418858,-47723.29433440443
10,15,-47918.070508166835,-47720.63935339099
10,16,-47916.35223955132,-47711.608819783774
10,17,-47914.852085711864,-47702.79640095262
10,18,-47911.27350585876,-47691.90555610781
10,19,-47911.502715887524,-47684.82250114488
10,20,-47910.56334969942,-47676.57086996508
10,21,-47909.29028760464,-47667.9855428786
10,22,-47906.20679244604,-47657.589782728304
10,23,-47903.39816880054,-47647.4688940911
10,24,-47902.37625213813,-47639.13471243699
10,25,-47900.798829056206,-47630.24502436338
10,26,-47898.83820568669,-47620.972136002165
11,0,-47917.22513247475,-47822.165687582674
11,1,-47915.21707829112,-47812.84536840735
11,2,-47912.98081954339,-47803.296844667915
11,3,-47910.81157449648,-47793.81533462931
11,4,-47913.48473085411,-47789.17622599524
11,5,-47910.75472025668,-47779.13395040611
11,6,-47918.43580167241,-47779.50276683014
11,7,-47919.67413634085,-47773.428836506886
11,8,-47908.73607901324,-47755.17851418757
11,9,-47899.172372397596,-47738.30254258024
11,10,-47896.712665553416,-47728.53057074436
11,11,-47912.218576571264,-47736.72421677051
11,12,-47912.49509420199,-47729.68846940954
11,13,-47716.4866294557,-47526.36773967155
11,14,-47913.64142687374,-47716.210272097895
11,15,-47913.07484965547,-47708.33142988793
11,16,-47902.87334380948,-47690.81765905023
11,17,-47913.85971786128,-47694.49176811034
11,18,-47910.63315683731,-47683.95294209467
11,19,-47909.643153404846,-47675.650673670505
11,20,-47908.676500686124,-47667.371755960085
11,21,-47907.168113830776,-47658.55110411304
11,22,-47904.97704480488,-47649.04777009544
11,23,-47902.311121102844,-47639.06958140171
11,24,-47901.23370854884,-47630.67990385601
11,25,-47899.56690777288,-47621.700838088356
11,26,-47897.89991991168,-47612.72158523546
12,0,-47927.741447980785,-47825.36973809701
12,1,-47925.680097497534,-47815.99612262206
12,2,-47923.814902726706,-47806.818662859536
12,3,-47921.82443903882,-47797.51593417995
12,4,-47920.03094504964,-47788.410175199075
12,5,-47911.58318021659,-47772.650145374326
12,6,-47916.124423487505,-47769.87912365354
12,7,-47908.816624300336,-47755.25905947467
12,8,-47916.642050362876,-47755.77222054552
12,9,-47910.060352562155,-47741.8782577531
12,10,-47909.52676778234,-47734.03240798159
12,11,-47910.40008949343,-47727.59346470098
12,12,-47747.24599873368,-47557.12710894953
12,13,-47571.97791304192,-47374.54675826607
12,14,-47910.24187387239,-47705.49845410485
12,15,-47909.890834590784,-47697.83514983154
12,16,-47906.17988959607,-47686.81193984512
12,17,-47911.86565598297,-47685.185441240326
12,18,-47908.316131904816,-47674.323652170475
12,19,-47907.475030702946,-47666.17028597691
12,20,-47906.67445495865,-47658.05744524091
12,21,-47905.28876302945,-47649.35948832001
12,22,-47903.056297203366,-47639.81475750223
12,23,-47900.41725128539,-47629.863446592564
12,24,-47899.17201364515,-47621.30594396062
12,25,-47898.16294553155,-47612.984610855325
12,26,-47897.409105806015,-47604.91850613809
13,0,-47927.29426777222,-47817.610292896745
13,1,-47925.267193239975,-47808.270953372805
13,2,-47923.4296799859,-47799.12117512703
13,3,-47921.51933326808,-47789.89856341751
13,4,-47919.65767189048,-47780.72463704822
13,5,-47907.223935852664,-47760.9786360187
13,6,-47915.74493609286,-47762.187371267195
13,7,-47921.43752064768,-47760.56769083033
13,8,-47911.7335296512,-47743.55143484215
13,9,-47909.64475012121,-47734.15039032046
13,10,-47907.58099656014,-47724.774371767686
13,11,-47903.61394185662,-47713.495052072474
13,12,-47903.73753224386,-47706.30637746801
13,13,-47817.039952939085,-47612.29653317154
13,14,-47908.74371682191,-47696.688032062666
13,15,-47903.00135483021,-47683.633405079265
13,16,-47898.93731496199,-47672.25710021935
13,17,-47909.73930918784,-47675.7468294535
13,18,-47906.291866691034,-47664.987121964994
13,19,-47906.224964055065,-47657.60795433733
13,20,-47905.78211801951,-47649.85284331007
13,21,-47903.34155211399,-47640.10001241286
